,country,province,region_1,Lat,Lng
0,US,California,Napa Valley,38.5024689,-122.2653887
1,Spain,Northern Spain,Toro,41.4540325,-5.414900299999999
2,US,California,Knights Valley,38.6351857,-122.6941543
3,US,Oregon,Willamette Valley,44.942554,-122.9337615
4,France,Provence,Bandol,43.136418,5.754186
8,US,Oregon,Chehalem Mountains,45.3762277,-123.037326
9,US,California,Sonoma Coast,38.4052701,-123.096764
10,Italy,Northeastern Italy,Collio,41.87194,12.56738
11,US,Oregon,Ribbon Ridge,45.3542829,-123.0739933
12,US,Oregon,Dundee Hills,45.2721648,-123.0163892
13,France,Southwest France,Madiran,43.549639,-0.057621
16,US,California,Diamond Mountain District,38.5550719,-122.574452
17,Spain,Northern Spain,Ribera del Duero,41.5120194,-5.4922548
18,France,Southwest France,Cahors,44.4475229,1.441989
21,Spain,Northern Spain,Rioja,42.2870733,-2.539603
23,US,California,Edna Valley,35.2168996,-120.6077553
24,US,California,Santa Cruz Mountains,37.1108921,-121.8448906
27,US,California,Santa Lucia Highlands,36.4307709,-121.4203754
28,US,Washington,Walla Walla Valley (WA),46.0655953,-118.3387429
29,US,California,Russian River Valley,38.9116325,-123.0110483
30,France,France Other,Vin Mousseux,46.227638,2.213749
31,US,Washington,Columbia Valley (WA),47.4523058,-120.822886
32,Italy,Tuscany,Brunello di Montalcino,42.967171,11.437808
33,Italy,Tuscany,Chianti Classico,43.612362,11.1915624
34,Spain,Galicia,Ribeira Sacra,42.3465529,-7.863258399999999
35,Spain,Andalucia,Jerez,36.6850064,-6.126074399999999
37,France,Rhône Valley,Cornas,44.9622135,4.848509099999999
40,US,California,Mount Veeder,38.3793566,-122.4477575
42,France,Loire Valley,Sancerre,47.442767,2.8143545
43,France,Loire Valley,Coteaux du Giennois,48.014277,3.088529
44,US,Washington,Red Mountain,46.2979123,-119.4408562
45,US,New York,Finger Lakes,42.7238165,-76.9297247
47,Italy,Tuscany,Maremma Toscana,43.13439140000001,11.0111351
48,Argentina,Mendoza Province,Mendoza,-32.8894587,-68.8458386
50,France,Burgundy,Chablis,47.815269,3.800450999999999
51,US,California,Santa Clara Valley,37.2488478,-121.8399593
54,US,Oregon,Eola-Amity Hills,45.1312282,-123.1637138
55,US,California,Rutherford,38.45910120000001,-122.4225638
56,US,California,St. Helena,38.5052429,-122.4703868
58,France,Champagne,Champagne,35.9346922,-96.0134444
60,Italy,Piedmont,Barolo,44.6088032,7.9403041
68,Italy,Veneto,Prosecco,45.9391729,12.279768
69,US,California,Mendocino County,39.5500194,-123.438353
71,France,Southwest France,Buzet,44.2581983,0.2979439
72,France,Southwest France,Côtes de Gascogne,49.034744,1.598236
75,US,California,Paso Robles,35.6368759,-120.6545022
76,US,Washington,Yakima Valley,46.6056192,-120.4948209
78,Argentina,Mendoza Province,Tupungato,-33.3728036,-69.1475583
79,US,California,Howell Mountain,38.58139,-122.45
80,US,New York,Hudson River Region,42.403046,-73.8886727
81,Argentina,Mendoza Province,Valle de Uco,-33.591622,-69.025249
83,US,California,Anderson Valley,39.0865657,-123.4794542
84,US,California,Santa Maria Valley,34.9457909,-120.561774
87,US,California,Amador County,38.3488921,-120.7740931
90,Italy,Sicily & Sardinia,Etna,37.751005,14.9934349
93,US,California,Adelaida District,35.645397,-120.874138
95,US,California,California,35.125801,-117.9859038
97,France,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,43.780392,3.813078
102,Spain,Catalonia,Cava,42.3252871,1.6055202
104,US,California,Happy Canyon of Santa Barbara,34.4206415,-119.6994278
108,Italy,Tuscany,Toscana,43.7710513,11.2486208
110,US,California,Livermore Valley,37.6704091,-121.6978901
112,France,Rhône Valley,Côtes du Rhône,43.946168,4.8074198
120,Argentina,Mendoza Province,Luján de Cuyo,-33.0391038,-68.8798644
124,Spain,Northern Spain,Valdeorras,42.3788608,-6.9638624
125,Spain,Catalonia,Montsant,41.292953,0.7978029999999999
132,US,Washington,Wahluke Slope,46.7643025,-119.6166988
134,Italy,Piedmont,Barbaresco,44.7232618,8.0835572
135,US,California,Rockpile,38.7722871,-123.2127857
137,France,Alsace,Alsace,48.3181795,7.441624099999999
146,US,California,Fort Ross-Seaview,38.51392510000001,-123.2455683
148,US,California,Santa Barbara County,34.4208321,-119.6982057
149,US,Washington,Horse Heaven Hills,46.13318779999999,-119.8678139
157,US,Oregon,McMinnville,45.21011619999999,-123.1987163
158,US,California,Central Coast,35.6368759,-120.6545022
161,US,California,Carneros,38.2554723,-122.3349422
166,Spain,Northern Spain,Cigales,41.7580541,-4.698011699999999
167,Spain,Central Spain,La Mancha,39.2795607,-3.097702
173,Argentina,Mendoza Province,Agrelo,-33.1194013,-68.8868944
174,France,Burgundy,Beaune,47.02603000000001,4.840004
175,France,Burgundy,Chassagne-Montrachet,46.9447821,4.7539203
176,US,California,Coombsville,38.2971707,-122.2864459
