Rank,Country,Average income,,monthly,
1,Monaco,186080.00,,15507.00,
2,Liechtenstein,116300.00,,9692.00,
3,Switzerland,82090.00,,6841.00,
4,Norway,81980.00,,6832.00,
5,Luxembourg,71590.00,,5966.00,
6,Macau,65130.00,,5428.00,
7,Denmark,56990.00,,4749.00,
8,United States,56850.00,,4738.00,
9,Iceland,56760.00,,4730.00,
10,Sweden,54770.00,,4564.00,
11,Australia,54230.00,,4519.00,
12,Ireland,53970.00,,4498.00,
13,Singapore,51880.00,,4323.00,
14,Netherlands,46610.00,,3884.00,
15,Austria,45880.00,,3823.00,
16,Finland,45040.00,,3753.00,
17,Germany,43940.00,,3662.00,
18,Canada,43880.00,,3657.00,
19,Hong Kong,42940.00,,3578.00,
20,Belgium,42610.00,,3551.00,
21,United Kingdom,42370.00,,3531.00,
22,United Arab Emirates,40480.00,,3373.00,
23,France,38720.00,,3227.00,
24,New Zealand,38640.00,,3220.00,
25,Japan,38000.00,,3167.00,
26,Israel,36250.00,,3021.00,
27,Italy,31700.00,,2642.00,
28,South Korea,27600.00,,2300.00,
29,Spain,27580.00,,2298.00,
30,Saudi Arabia,21720.00,,1810.00,
31,Portugal,19870.00,,1656.00,
32,Greece,18880.00,,1573.00,
33,Czech Republic,17630.00,,1469.00,
34,Chile,13540.00,,1128.00,
35,Poland,12680.00,,1057.00,
36,Hungary,12570.00,,1048.00,
37,Croatia,12130.00,,1011.00,
38,Argentina,11970.00,,998.00,
39,Turkey,11230.00,,936.00,
40,Costa Rica,10840.00,,903.00,
41,Malaysia,9860.00,,822.00,
42,Russia,9720.00,,810.00,
43,Romania,9480.00,,790.00,
44,Mexico,9040.00,,753.00,
45,Brazil,8840.00,,737.00,
46,Kazakhstan,8810.00,,734.00,
47,China,8250.00,,688.00,
48,Bulgaria,7580.00,,632.00,
49,Equatorial Guinea,7180.00,,598.00,
50,Cuba,6570.00,,548.00,
51,Colombia,6310.00,,526.00,
52,Peru,5950.00,,496.00,
53,Thailand,5640.00,,470.00,
54,South Africa,5480.00,,457.00,
55,Iran,5470.00,,456.00,
56,Serbia,5310.00,,443.00,
57,Bosnia and Herzegovina,4940.00,,412.00,
58,Albania,4180.00,,348.00,
59,Kosovo,3850.00,,321.00,
60,Sri Lanka,3780.00,,315.00,
61,Philippines,3580.00,,298.00,
62,Egypt,3410.00,,284.00,
63,Indonesia,3400.00,,283.00,
64,Morocco,2880.00,,240.00,
65,Nigeria,2450.00,,204.00,
66,Ukraine,2310.00,,193.00,
67,Vietnam,2060.00,,172.00,
68,Syria,1840.00,,153.00,
69,India,1670.00,,139.00,
70,Pakistan,1500.00,,125.00,
71,Kenya,1380.00,,115.00,
72,Ghana,1380.00,,115.00,
73,Bangladesh,1330.00,,111.00,
74,Nepal,730.00,,61.00,
75,Ethiopia,660.00,,55.00,
76,Afghanistan,580.00,,48.00,
77,Democratic Republic of the Congo,460.00,,38.00,
78,Madagascar,400.00,,33.00,
