Column Name,Column Description,Type
country,The country that the wine is from,String
description,"A few sentences from a sommelier describing the wine's taste, smell, look, feel, etc.",String
designation,The vineyard within the winery where the grapes that made the wine are from,String
points,The number of points WineEnthusiast rated the wine on a scale of 1-100 (though they say they only post reviews for wines that score &gt;=80),Numeric
price,The cost for a bottle of the wine,Numeric
province,The province or state that the wine is from,String
region_1,The wine growing area in a province or state (ie Napa),String
region_2,"Sometimes there are more specific regions specified within a wine growing area (ie Rutherford inside the Napa Valley), but this value can sometimes be blank",String
variety,The type of grapes used to make the wine (ie Pinot Noir),String
winery,The winery that made the wine,String
