Geography,Pop_mid_2017 (Million)
Africa,1250.00
Algeria,42.20
Egypt,93.40
Libya,6.40
Morocco,35.10
Sudan,40.60
Tunisia,11.50
Western Sahara,0.60
Benin,11.20
Burkina Faso,19.60
Cape Verde,0.50
Cote d'Ivoire,24.40
Gambia,2.10
Ghana,28.80
Guinea,11.50
Guinea-Bissau,1.90
Liberia,4.70
Mali,18.90
Mauritania,4.40
Niger,20.60
Nigeria,190.90
Senegal,15.80
Sierra Leone,7.60
Togo,7.80
Burundi,10.40
Comoros,0.80
Djibouti,1.00
Eritrea,5.90
Ethiopia,105.00
Kenya,49.70
Madagascar,25.50
Malawi,18.60
Mauritius,1.30
Mozambique,29.70
Rwanda,12.30
Seychelles,0.09
Somalia,14.70
South Sudan,12.60
Tanzania,57.50
Uganda,42.80
Zambia,16.40
Zimbabwe,16.60
Angola,28.60
Cameroon,25.00
Central African Republic,4.70
Chad,14.90
Congo,5.00
"Congo, Dem. Rep.",81.50
Equatorial Guinea,1.30
Gabon,2.00
Sao Tome and Principe,0.20
Botswana,2.30
Lesotho,2.20
Namibia,2.50
South Africa,56.50
Swaziland,1.40
Northern America,362.00
Canada,36.70
United States,325.40
Latin America And The Caribbean,643.00
Belize,0.40
Costa Rica,4.90
El Salvador,6.40
Guatemala,16.90
Honduras,8.90
Mexico,129.20
Nicaragua,6.20
Panama,4.10
Antigua and Barbuda,0.10
Bahamas,0.40
Barbados,0.30
Cuba,11.30
Curacao,0.20
Dominica,0.07
Dominican Republic,10.70
Grenada,0.10
Haiti,10.60
Jamaica,2.90
Puerto Rico,3.40
St. Kitts-Nevis,0.05
Saint Lucia,0.20
St. Vincent and the Grenadines,0.10
Trinidad and Tobago,1.40
Argentina,44.30
Bolivia,11.10
Brazil,207.90
Chile,18.40
Colombia,49.30
Ecuador,16.80
Guyana,0.80
Paraguay,6.80
Peru,31.80
Suriname,0.60
Uruguay,3.50
Venezuela,31.40
Asia,4494.00
Armenia,3.00
Azerbaijan,9.90
Bahrain,1.50
Cyprus,1.20
Georgia,3.90
Iraq,39.20
Israel,8.30
Jordan,9.70
Kuwait,4.10
Lebanon,6.20
Oman,4.70
Qatar,2.70
Saudi Arabia,32.60
Syria,18.30
Turkey,80.90
United Arab Emirates,9.40
Yemen,28.30
Kazakhstan,18.00
Kyrgyzstan,6.20
Tajikistan,8.80
Turkmenistan,5.80
Uzbekistan,32.40
Afghanistan,35.50
Bangladesh,164.70
Bhutan,0.80
India,1352.60
Iran,80.60
Maldives,0.40
Nepal,29.40
Pakistan,199.30
Sri Lanka,21.40
Brunei,0.40
Cambodia,15.90
Indonesia,264.00
Laos,7.00
Malaysia,31.60
Myanmar,53.40
Philippines,105.00
Singapore,5.70
Thailand,66.10
Timor-Leste,1.30
Vietnam,93.70
China,1386.80
Japan,126.70
"Korea, North",25.50
"Korea, South",51.40
Mongolia,3.20
Taiwan,23.60
Europe,745.00
Denmark,5.80
Estonia,1.30
Finland,5.50
Iceland,0.30
Ireland,4.80
Latvia,1.90
Lithuania,2.80
Norway,5.30
Sweden,10.10
United Kingdom,66.20
Austria,8.80
Belgium,11.30
France,65.00
Germany,83.10
Liechtenstein,0.04
Luxembourg,0.60
Monaco,0.04
Netherlands,17.10
Switzerland,8.50
Belarus,9.50
Bulgaria,7.10
Czech Republic,10.60
Hungary,9.80
Moldova,3.60
Poland,38.40
Romania,19.60
Russia,146.80
Slovakia,5.40
Ukraine,42.30
Albania,2.90
Andorra,0.08
Bosnia-Herzegovina,3.50
Croatia,4.10
Greece,10.70
Italy,60.50
Kosovo,1.80
Macedonia,2.10
Malta,0.40
Montenegro,0.60
Portugal,10.30
San Marino,0.03
Serbia,7.00
Slovenia,2.10
Spain,46.60
Oceania,42.00
Australia,24.50
Federated States of Micronesia,0.10
Fiji,0.90
French Polynesia,0.30
Guam,0.20
Kiribati,0.10
Marshall Islands,0.06
Nauru,0.01
New Caledonia,0.30
New Zealand,4.80
Palau,0.02
Papua New Guinea,8.30
Samoa,0.20
Solomon Islands,0.70
Tonga,0.10
Tuvalu,0.01
Vanuatu,0.30
